,country_id,country,league,season,stage,date,match_year,match_api_id,team_flag,team_api_id,team_long_name,team_short_name,team_goals,result,points,player_api_id,player_name,birthday,height,weight,cumpoints
111799,1729,England,Premier League,2015/2016,6,2015-09-19,2015,1988762,home_team,8455,Chelsea,CHE,2,won,3,107417,Eden Hazard,1991-01-07,172.72,163,7
111859,1729,England,Premier League,2015/2016,7,2015-09-26,2015,1988773,away_team,8455,Chelsea,CHE,2,draw,1,107417,Eden Hazard,1991-01-07,172.72,163,8
83963,1729,England,Premier League,2015/2016,8,2015-10-03,2015,1988783,home_team,8455,Chelsea,CHE,1,lost,0,22543,Radamel Falcao,1986-02-10,177.8,159,8
127921,1729,England,Premier League,2015/2016,9,2015-10-17,2015,1988790,home_team,8455,Chelsea,CHE,2,won,3,281207,Kurt Zouma,1994-10-27,190.5,187,11
111860,1729,England,Premier League,2015/2016,10,2015-10-24,2015,1988809,away_team,8455,Chelsea,CHE,1,lost,0,107417,Eden Hazard,1991-01-07,172.72,163,11
111801,1729,England,Premier League,2015/2016,11,2015-10-31,2015,1988810,home_team,8455,Chelsea,CHE,1,lost,0,107417,Eden Hazard,1991-01-07,172.72,163,11
111861,1729,England,Premier League,2015/2016,12,2015-11-07,2015,1988827,away_team,8455,Chelsea,CHE,0,lost,0,107417,Eden Hazard,1991-01-07,172.72,163,11
111802,1729,England,Premier League,2015/2016,13,2015-11-21,2015,1988830,home_team,8455,Chelsea,CHE,1,won,3,107417,Eden Hazard,1991-01-07,172.72,163,14
111862,1729,England,Premier League,2015/2016,14,2015-11-29,2015,1988848,away_team,8455,Chelsea,CHE,0,draw,1,107417,Eden Hazard,1991-01-07,172.72,163,15
111803,1729,England,Premier League,2015/2016,15,2015-12-05,2015,1988851,home_team,8455,Chelsea,CHE,0,lost,0,107417,Eden Hazard,1991-01-07,172.72,163,15
111863,1729,England,Premier League,2015/2016,16,2015-12-14,2015,1988863,away_team,8455,Chelsea,CHE,1,lost,0,107417,Eden Hazard,1991-01-07,172.72,163,15
127925,1729,England,Premier League,2015/2016,17,2015-12-19,2015,1988871,home_team,8455,Chelsea,CHE,3,won,3,281207,Kurt Zouma,1994-10-27,190.5,187,18
138286,1729,England,Premier League,2015/2016,18,2015-12-26,2015,1988882,home_team,8455,Chelsea,CHE,2,draw,1,72541,Cesar Azpilicueta,1989-08-28,177.8,165,19
111864,1729,England,Premier League,2015/2016,19,2015-12-28,2015,1988894,away_team,8455,Chelsea,CHE,0,draw,1,107417,Eden Hazard,1991-01-07,172.72,163,20
111865,1729,England,Premier League,2015/2016,20,2016-01-03,2016,1988901,away_team,8455,Chelsea,CHE,3,won,3,107417,Eden Hazard,1991-01-07,172.72,163,23
127926,1729,England,Premier League,2015/2016,21,2016-01-13,2016,1988914,home_team,8455,Chelsea,CHE,2,draw,1,281207,Kurt Zouma,1994-10-27,190.5,187,24
127927,1729,England,Premier League,2015/2016,22,2016-01-16,2016,1988922,home_team,8455,Chelsea,CHE,3,draw,1,281207,Kurt Zouma,1994-10-27,190.5,187,25
127939,1729,England,Premier League,2015/2016,23,2016-01-24,2016,1988930,away_team,8455,Chelsea,CHE,1,won,3,281207,Kurt Zouma,1994-10-27,190.5,187,28
127940,1729,England,Premier League,2015/2016,24,2016-02-03,2016,1988944,away_team,8455,Chelsea,CHE,0,draw,1,281207,Kurt Zouma,1994-10-27,190.5,187,29
127928,1729,England,Premier League,2015/2016,25,2016-02-07,2016,1988952,home_team,8455,Chelsea,CHE,1,draw,1,281207,Kurt Zouma,1994-10-27,190.5,187,30
111804,1729,England,Premier League,2015/2016,26,2016-02-13,2016,1988963,home_team,8455,Chelsea,CHE,5,won,3,107417,Eden Hazard,1991-01-07,172.72,163,33
111866,1729,England,Premier League,2015/2016,27,2016-02-27,2016,1988974,away_team,8455,Chelsea,CHE,2,won,3,107417,Eden Hazard,1991-01-07,172.72,163,36
111867,1729,England,Premier League,2015/2016,28,2016-03-01,2016,1988984,away_team,8455,Chelsea,CHE,2,won,3,107417,Eden Hazard,1991-01-07,172.72,163,39
111805,1729,England,Premier League,2015/2016,29,2016-03-05,2016,1988990,home_team,8455,Chelsea,CHE,1,draw,1,107417,Eden Hazard,1991-01-07,172.72,163,40
111870,1729,England,Premier League,2015/2016,30,2016-05-11,2016,1989004,away_team,8455,Chelsea,CHE,1,draw,1,107417,Eden Hazard,1991-01-07,172.72,163,41
117908,1729,England,Premier League,2015/2016,31,2016-03-19,2016,1989010,home_team,8455,Chelsea,CHE,2,draw,1,39987,Loic Remy,1987-01-02,185.42,176,42
117912,1729,England,Premier League,2015/2016,32,2016-04-02,2016,1989021,away_team,8455,Chelsea,CHE,4,won,3,39987,Loic Remy,1987-01-02,185.42,176,45
138350,1729,England,Premier League,2015/2016,33,2016-04-09,2016,1989036,away_team,8455,Chelsea,CHE,0,lost,0,72541,Cesar Azpilicueta,1989-08-28,177.8,165,45
138293,1729,England,Premier League,2015/2016,34,2016-04-16,2016,1989042,home_team,8455,Chelsea,CHE,0,lost,0,72541,Cesar Azpilicueta,1989-08-28,177.8,165,45
111868,1729,England,Premier League,2015/2016,35,2016-04-23,2016,1989051,away_team,8455,Chelsea,CHE,4,won,3,107417,Eden Hazard,1991-01-07,172.72,163,48
138294,1729,England,Premier League,2015/2016,36,2016-05-02,2016,1989061,home_team,8455,Chelsea,CHE,2,draw,1,72541,Cesar Azpilicueta,1989-08-28,177.8,165,49
111869,1729,England,Premier League,2015/2016,37,2016-05-07,2016,1989077,away_team,8455,Chelsea,CHE,2,lost,0,107417,Eden Hazard,1991-01-07,172.72,163,49
111806,1729,England,Premier League,2015/2016,38,2016-05-15,2016,1987598,home_team,8455,Chelsea,CHE,1,draw,1,107417,Eden Hazard,1991-01-07,172.72,163,50
277120,1729,England,Premier League,2015/2016,1,2015-08-10,2015,1987041,away_team,8456,Manchester City,MCI,3,won,3,156551,Eliaquim Mangala,1991-02-13,187.96,185,3
277096,1729,England,Premier League,2015/2016,2,2015-08-16,2015,1987081,home_team,8456,Manchester City,MCI,3,won,3,156551,Eliaquim Mangala,1991-02-13,187.96,185,6
277121,1729,England,Premier League,2015/2016,3,2015-08-23,2015,1988732,away_team,8456,Manchester City,MCI,2,won,3,156551,Eliaquim Mangala,1991-02-13,187.96,185,9
277097,1729,England,Premier League,2015/2016,4,2015-08-29,2015,1988744,home_team,8456,Manchester City,MCI,2,won,3,156551,Eliaquim Mangala,1991-02-13,187.96,185,12
277122,1729,England,Premier League,2015/2016,5,2015-09-12,2015,1988751,away_team,8456,Manchester City,MCI,1,won,3,156551,Eliaquim Mangala,1991-02-13,187.96,185,15
217382,1729,England,Premier League,2015/2016,6,2015-09-19,2015,1988764,home_team,8456,Manchester City,MCI,1,lost,0,169200,Kevin de Bruyne,1991-06-28,180.34,168,15
197040,1729,England,Premier League,2015/2016,7,2015-09-26,2015,1988776,away_team,8456,Manchester City,MCI,1,lost,0,30459,Martin Demichelis,1980-12-20,182.88,172,15
217383,1729,England,Premier League,2015/2016,8,2015-10-03,2015,1988786,home_team,8456,Manchester City,MCI,6,won,3,169200,Kevin de Bruyne,1991-06-28,180.34,168,18
217384,1729,England,Premier League,2015/2016,9,2015-10-17,2015,1988793,home_team,8456,Manchester City,MCI,5,won,3,169200,Kevin de Bruyne,1991-06-28,180.34,168,21
217393,1729,England,Premier League,2015/2016,10,2015-10-25,2015,1988805,away_team,8456,Manchester City,MCI,0,draw,1,169200,Kevin de Bruyne,1991-06-28,180.34,168,22
217385,1729,England,Premier League,2015/2016,11,2015-10-31,2015,1988813,home_team,8456,Manchester City,MCI,2,won,3,169200,Kevin de Bruyne,1991-06-28,180.34,168,25
217394,1729,England,Premier League,2015/2016,12,2015-11-08,2015,1988821,away_team,8456,Manchester City,MCI,0,draw,1,169200,Kevin de Bruyne,1991-06-28,180.34,168,26
197008,1729,England,Premier League,2015/2016,13,2015-11-21,2015,1988833,home_team,8456,Manchester City,MCI,1,lost,0,30459,Martin Demichelis,1980-12-20,182.88,172,26
197009,1729,England,Premier League,2015/2016,14,2015-11-28,2015,1988845,home_team,8456,Manchester City,MCI,3,won,3,30459,Martin Demichelis,1980-12-20,182.88,172,29
197041,1729,England,Premier League,2015/2016,15,2015-12-05,2015,1988856,away_team,8456,Manchester City,MCI,0,lost,0,30459,Martin Demichelis,1980-12-20,182.88,172,29
277102,1729,England,Premier League,2015/2016,16,2015-12-12,2015,1988865,home_team,8456,Manchester City,MCI,2,won,3,156551,Eliaquim Mangala,1991-02-13,187.96,185,32
217396,1729,England,Premier League,2015/2016,17,2015-12-21,2015,1988870,away_team,8456,Manchester City,MCI,1,lost,0,169200,Kevin de Bruyne,1991-06-28,180.34,168,32
217388,1729,England,Premier League,2015/2016,18,2015-12-26,2015,1988884,home_team,8456,Manchester City,MCI,4,won,3,169200,Kevin de Bruyne,1991-06-28,180.34,168,35
217397,1729,England,Premier League,2015/2016,19,2015-12-29,2015,1988893,away_team,8456,Manchester City,MCI,0,draw,1,169200,Kevin de Bruyne,1991-06-28,180.34,168,36
217398,1729,England,Premier League,2015/2016,20,2016-01-02,2016,1988907,away_team,8456,Manchester City,MCI,2,won,3,169200,Kevin de Bruyne,1991-06-28,180.34,168,39
197010,1729,England,Premier League,2015/2016,21,2016-01-13,2016,1988915,home_team,8456,Manchester City,MCI,0,draw,1,30459,Martin Demichelis,1980-12-20,182.88,172,40
197011,1729,England,Premier League,2015/2016,22,2016-01-16,2016,1988924,home_team,8456,Manchester City,MCI,4,won,3,30459,Martin Demichelis,1980-12-20,182.88,172,43
197042,1729,England,Premier League,2015/2016,23,2016-01-23,2016,1988939,away_team,8456,Manchester City,MCI,2,draw,1,30459,Martin Demichelis,1980-12-20,182.88,172,44
197043,1729,England,Premier League,2015/2016,24,2016-02-02,2016,1988943,away_team,8456,Manchester City,MCI,1,won,3,30459,Martin Demichelis,1980-12-20,182.88,172,47
197012,1729,England,Premier League,2015/2016,25,2016-02-06,2016,1988954,home_team,8456,Manchester City,MCI,1,lost,0,30459,Martin Demichelis,1980-12-20,182.88,172,47
294245,1729,England,Premier League,2015/2016,26,2016-02-14,2016,1988966,home_team,8456,Manchester City,MCI,1,lost,0,31291,Gael Clichy,1985-07-26,175.26,143,47
217402,1729,England,Premier League,2015/2016,27,2016-04-19,2016,1988973,away_team,8456,Manchester City,MCI,1,draw,1,169200,Kevin de Bruyne,1991-06-28,180.34,168,48
294304,1729,England,Premier League,2015/2016,28,2016-03-02,2016,1988987,away_team,8456,Manchester City,MCI,0,lost,0,31291,Gael Clichy,1985-07-26,175.26,143,48
293987,1729,England,Premier League,2015/2016,29,2016-03-05,2016,1988993,home_team,8456,Manchester City,MCI,4,won,3,26111,Bacary Sagna,1983-02-14,175.26,159,51
294007,1729,England,Premier League,2015/2016,30,2016-03-12,2016,1989006,away_team,8456,Manchester City,MCI,0,draw,1,26111,Bacary Sagna,1983-02-14,175.26,159,52
197013,1729,England,Premier League,2015/2016,31,2016-03-20,2016,1989013,home_team,8456,Manchester City,MCI,0,lost,0,30459,Martin Demichelis,1980-12-20,182.88,172,52
217400,1729,England,Premier League,2015/2016,32,2016-04-02,2016,1989022,away_team,8456,Manchester City,MCI,4,won,3,169200,Kevin de Bruyne,1991-06-28,180.34,168,55
277105,1729,England,Premier League,2015/2016,33,2016-04-09,2016,1989033,home_team,8456,Manchester City,MCI,2,won,3,156551,Eliaquim Mangala,1991-02-13,187.96,185,58
217401,1729,England,Premier League,2015/2016,34,2016-04-16,2016,1989042,away_team,8456,Manchester City,MCI,3,won,3,169200,Kevin de Bruyne,1991-06-28,180.34,168,61
277106,1729,England,Premier League,2015/2016,35,2016-04-23,2016,1989055,home_team,8456,Manchester City,MCI,4,won,3,156551,Eliaquim Mangala,1991-02-13,187.96,185,64
277129,1729,England,Premier League,2015/2016,36,2016-05-01,2016,1989065,away_team,8456,Manchester City,MCI,2,lost,0,156551,Eliaquim Mangala,1991-02-13,187.96,185,64
217391,1729,England,Premier League,2015/2016,37,2016-05-08,2016,1989075,home_team,8456,Manchester City,MCI,2,draw,1,169200,Kevin de Bruyne,1991-06-28,180.34,168,65
217403,1729,England,Premier League,2015/2016,38,2016-05-15,2016,1987604,away_team,8456,Manchester City,MCI,1,draw,1,169200,Kevin de Bruyne,1991-06-28,180.34,168,66
323876,1729,England,Premier League,2015/2016,1,2015-08-08,2015,1987037,away_team,8586,Tottenham Hotspur,TOT,0,lost,0,159833,Kyle Walker,1990-05-28,177.8,154,0
101103,1729,England,Premier League,2015/2016,2,2015-08-15,2015,1987085,home_team,8586,Tottenham Hotspur,TOT,2,draw,1,26295,Hugo Lloris,1986-12-26,187.96,172,1
101171,1729,England,Premier League,2015/2016,3,2015-08-22,2015,1988733,away_team,8586,Tottenham Hotspur,TOT,1,draw,1,26295,Hugo Lloris,1986-12-26,187.96,172,2
101104,1729,England,Premier League,2015/2016,4,2015-08-29,2015,1988749,home_team,8586,Tottenham Hotspur,TOT,0,draw,1,26295,Hugo Lloris,1986-12-26,187.96,172,3
101172,1729,England,Premier League,2015/2016,5,2015-09-13,2015,1988756,away_team,8586,Tottenham Hotspur,TOT,1,won,3,26295,Hugo Lloris,1986-12-26,187.96,172,6
101105,1729,England,Premier League,2015/2016,6,2015-09-20,2015,1988769,home_team,8586,Tottenham Hotspur,TOT,1,won,3,26295,Hugo Lloris,1986-12-26,187.96,172,9
101106,1729,England,Premier League,2015/2016,7,2015-09-26,2015,1988776,home_team,8586,Tottenham Hotspur,TOT,4,won,3,26295,Hugo Lloris,1986-12-26,187.96,172,12
101173,1729,England,Premier League,2015/2016,8,2015-10-04,2015,1988789,away_team,8586,Tottenham Hotspur,TOT,2,draw,1,26295,Hugo Lloris,1986-12-26,187.96,172,13
101107,1729,England,Premier League,2015/2016,9,2015-10-17,2015,1988797,home_team,8586,Tottenham Hotspur,TOT,0,draw,1,26295,Hugo Lloris,1986-12-26,187.96,172,14
101174,1729,England,Premier League,2015/2016,10,2015-10-25,2015,1988802,away_team,8586,Tottenham Hotspur,TOT,5,won,3,26295,Hugo Lloris,1986-12-26,187.96,172,17
101108,1729,England,Premier League,2015/2016,11,2015-11-02,2015,1988817,home_team,8586,Tottenham Hotspur,TOT,3,won,3,26295,Hugo Lloris,1986-12-26,187.96,172,20
101175,1729,England,Premier League,2015/2016,12,2015-11-08,2015,1988820,away_team,8586,Tottenham Hotspur,TOT,1,draw,1,26295,Hugo Lloris,1986-12-26,187.96,172,21
101109,1729,England,Premier League,2015/2016,13,2015-11-22,2015,1988837,home_team,8586,Tottenham Hotspur,TOT,4,won,3,26295,Hugo Lloris,1986-12-26,187.96,172,24
101110,1729,England,Premier League,2015/2016,14,2015-11-29,2015,1988848,home_team,8586,Tottenham Hotspur,TOT,0,draw,1,26295,Hugo Lloris,1986-12-26,187.96,172,25
101176,1729,England,Premier League,2015/2016,15,2015-12-05,2015,1988859,away_team,8586,Tottenham Hotspur,TOT,1,draw,1,26295,Hugo Lloris,1986-12-26,187.96,172,26
101111,1729,England,Premier League,2015/2016,16,2015-12-13,2015,1988868,home_team,8586,Tottenham Hotspur,TOT,1,lost,0,26295,Hugo Lloris,1986-12-26,187.96,172,26
101177,1729,England,Premier League,2015/2016,17,2015-12-19,2015,1988875,away_team,8586,Tottenham Hotspur,TOT,2,won,3,26295,Hugo Lloris,1986-12-26,187.96,172,29
101112,1729,England,Premier League,2015/2016,18,2015-12-26,2015,1988889,home_team,8586,Tottenham Hotspur,TOT,3,won,3,26295,Hugo Lloris,1986-12-26,187.96,172,32
101178,1729,England,Premier League,2015/2016,19,2015-12-28,2015,1988897,away_team,8586,Tottenham Hotspur,TOT,2,won,3,26295,Hugo Lloris,1986-12-26,187.96,172,35
101179,1729,England,Premier League,2015/2016,20,2016-01-03,2016,1988902,away_team,8586,Tottenham Hotspur,TOT,1,draw,1,26295,Hugo Lloris,1986-12-26,187.96,172,36
101113,1729,England,Premier League,2015/2016,21,2016-01-13,2016,1988919,home_team,8586,Tottenham Hotspur,TOT,0,lost,0,26295,Hugo Lloris,1986-12-26,187.96,172,36
101114,1729,England,Premier League,2015/2016,22,2016-01-16,2016,1988929,home_team,8586,Tottenham Hotspur,TOT,4,won,3,26295,Hugo Lloris,1986-12-26,187.96,172,39
101180,1729,England,Premier League,2015/2016,23,2016-01-23,2016,1988931,away_team,8586,Tottenham Hotspur,TOT,3,won,3,26295,Hugo Lloris,1986-12-26,187.96,172,42
101181,1729,England,Premier League,2015/2016,24,2016-02-02,2016,1988942,away_team,8586,Tottenham Hotspur,TOT,3,won,3,26295,Hugo Lloris,1986-12-26,187.96,172,45
101115,1729,England,Premier League,2015/2016,25,2016-02-06,2016,1988959,home_team,8586,Tottenham Hotspur,TOT,1,won,3,26295,Hugo Lloris,1986-12-26,187.96,172,48
101182,1729,England,Premier League,2015/2016,26,2016-02-14,2016,1988966,away_team,8586,Tottenham Hotspur,TOT,2,won,3,26295,Hugo Lloris,1986-12-26,187.96,172,51
101116,1729,England,Premier League,2015/2016,27,2016-02-28,2016,1988976,home_team,8586,Tottenham Hotspur,TOT,2,won,3,26295,Hugo Lloris,1986-12-26,187.96,172,54
101183,1729,England,Premier League,2015/2016,28,2016-03-02,2016,1988986,away_team,8586,Tottenham Hotspur,TOT,0,lost,0,26295,Hugo Lloris,1986-12-26,187.96,172,54
101117,1729,England,Premier League,2015/2016,29,2016-03-05,2016,1988997,home_team,8586,Tottenham Hotspur,TOT,2,draw,1,26295,Hugo Lloris,1986-12-26,187.96,172,55
101184,1729,England,Premier League,2015/2016,30,2016-03-13,2016,1989001,away_team,8586,Tottenham Hotspur,TOT,2,won,3,26295,Hugo Lloris,1986-12-26,187.96,172,58
101118,1729,England,Premier League,2015/2016,31,2016-03-20,2016,1989017,home_team,8586,Tottenham Hotspur,TOT,3,won,3,26295,Hugo Lloris,1986-12-26,187.96,172,61
101185,1729,England,Premier League,2015/2016,32,2016-04-02,2016,1989024,away_team,8586,Tottenham Hotspur,TOT,1,draw,1,26295,Hugo Lloris,1986-12-26,187.96,172,62
101119,1729,England,Premier League,2015/2016,33,2016-04-10,2016,1989037,home_team,8586,Tottenham Hotspur,TOT,3,won,3,26295,Hugo Lloris,1986-12-26,187.96,172,65
101186,1729,England,Premier League,2015/2016,34,2016-04-18,2016,1989048,away_team,8586,Tottenham Hotspur,TOT,4,won,3,26295,Hugo Lloris,1986-12-26,187.96,172,68
101120,1729,England,Premier League,2015/2016,35,2016-04-25,2016,1989058,home_team,8586,Tottenham Hotspur,TOT,1,draw,1,26295,Hugo Lloris,1986-12-26,187.96,172,69
101187,1729,England,Premier League,2015/2016,36,2016-05-02,2016,1989061,away_team,8586,Tottenham Hotspur,TOT,2,draw,1,26295,Hugo Lloris,1986-12-26,187.96,172,70
101121,1729,England,Premier League,2015/2016,37,2016-05-08,2016,1989078,home_team,8586,Tottenham Hotspur,TOT,1,lost,0,26295,Hugo Lloris,1986-12-26,187.96,172,70
101188,1729,England,Premier League,2015/2016,38,2016-05-15,2016,1987601,away_team,8586,Tottenham Hotspur,TOT,1,lost,0,26295,Hugo Lloris,1986-12-26,187.96,172,70
76621,1729,England,Premier League,2015/2016,1,2015-08-09,2015,1987032,home_team,9825,Arsenal,ARS,0,lost,0,26154,Mathieu Debuchy,1985-07-28,177.8,168,0
134717,1729,England,Premier League,2015/2016,2,2015-08-16,2015,1987079,away_team,9825,Arsenal,ARS,2,won,3,46539,Laurent Koscielny,1985-09-10,185.42,165,3
135101,1729,England,Premier League,2015/2016,3,2015-08-24,2015,1988730,home_team,9825,Arsenal,ARS,0,draw,1,159594,Francis Coquelin,1991-05-13,177.8,163,4
134718,1729,England,Premier League,2015/2016,4,2015-08-29,2015,1988745,away_team,9825,Arsenal,ARS,1,won,3,46539,Laurent Koscielny,1985-09-10,185.42,165,7
134633,1729,England,Premier League,2015/2016,5,2015-09-12,2015,1988750,home_team,9825,Arsenal,ARS,2,won,3,46539,Laurent Koscielny,1985-09-10,185.42,165,10
134719,1729,England,Premier League,2015/2016,6,2015-09-19,2015,1988762,away_team,9825,Arsenal,ARS,0,lost,0,46539,Laurent Koscielny,1985-09-10,185.42,165,10
134720,1729,England,Premier League,2015/2016,7,2015-09-26,2015,1988770,away_team,9825,Arsenal,ARS,5,won,3,46539,Laurent Koscielny,1985-09-10,185.42,165,13
